title,year,rating,dubious,imdbid,id,década,title
Passage de Venus,1874,0,0.0,3155794,9602,1870s,Passage de Venus
La Rosace Magique,1877,0,0.0,14495706,9804,1870s,La Rosace Magique
Sallie Gardner at a Gallop,1878,0,0.0,2221420,9603,1870s,Sallie Gardner at a Gallop
Le singe musicien,1878,0,0.0,12592084,9806,1870s,Le singe musicien
Athlete Swinging a Pick,1881,0,0.0,7816420,9816,1880s,Athlete Swinging a Pick
Buffalo Running,1883,0,0.0,5459794,9831,1880s,Buffalo Running
L&#39;homme machine,1885,0,0.0,8588366,9832,1880s,L&#39;homme machine
Man Walking Around the Corner,1887,0,0.0,2075247,9614,1880s,Man Walking Around the Corner
Cockatoo Flying,1887,0,0.0,8133192,9836,1880s,Cockatoo Flying
Child Carrying Flowers to Woman,1887,0,0.0,7411790,9837,1880s,Child Carrying Flowers to Woman
Jumping Over a Man&#39;s Back-Leapfrog,1887,0,0.0,7541160,9838,1880s,Jumping Over a Man&#39;s Back-Leapfrog
Man Riding Jumping Horse,1887,0,0.0,7754902,9841,1880s,Man Riding Jumping Horse
Baboon Climbing a Pole,1887,0,0.0,8361552,9902,1880s,Baboon Climbing a Pole
Roundhay Garden Scene,1888,0,0.0,392728,8040,1880s,Roundhay Garden Scene
Accordion Player,1888,0,0.0,1758563,9615,1880s,Accordion Player
Traffic Crossing Leeds Bridge,1888,0,0.0,343112,9616,1880s,Traffic Crossing Leeds Bridge
Pferd und Reiter Springen uber ein Hindernis,1888,0,0.0,3274100,9675,1880s,Pferd und Reiter Springen uber ein Hindernis
Brighton Street Scene,1888,0,0.0,2116853,9947,1880s,Brighton Street Scene
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0,0.0,466876,9619,1880s,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses"
Hyde Park Corner,1889,0,0.0,2116898,9945,1880s,Hyde Park Corner
"Monkeyshines, No. 1",1890,0,0.0,361921,9617,1890s,"Monkeyshines, No. 1"
"Monkeyshines, No. 2",1890,0,0.0,416046,9618,1890s,"Monkeyshines, No. 2"
London&#39;s Trafalgar Square,1890,0,0.0,1202028,9621,1890s,London&#39;s Trafalgar Square
"Monkeyshines, No. 3",1890,0,0.0,416047,9678,1890s,"Monkeyshines, No. 3"
Mosquinha,1890,0,0.0,5285442,9946,1890s,Mosquinha
"Traffic in King&#39;s Road, Chelsea",1890,0,0.0,2116968,9944,1890s,"Traffic in King&#39;s Road, Chelsea"
Dickson Greeting,1891,0,0.0,241373,9626,1890s,Dickson Greeting
Men Boxing,1891,0,0.0,241715,9628,1890s,Men Boxing
Newark Athlete,1891,0,0.0,241763,9629,1890s,Newark Athlete
"Duncan and Another, Blacksmith Shop",1891,0,0.0,241393,9792,1890s,"Duncan and Another, Blacksmith Shop"
Duncan Smoking,1891,0,0.0,241392,9793,1890s,Duncan Smoking
Duncan or Devonald with Muslin Cloud,1891,0,0.0,241394,9794,1890s,Duncan or Devonald with Muslin Cloud
"Monkey and Another, Boxing",1891,0,0.0,241735,9795,1890s,"Monkey and Another, Boxing"
Je vous aime,1891,0,0.0,3201916,9800,1890s,Je vous aime
La vague,1891,0,0.0,3508566,9802,1890s,La vague
Two Fencers,1891,0,0.0,5447082,9943,1890s,Two Fencers
Pauvre Pierrot,1892,0,0.0,3,5433,1890s,Pauvre Pierrot
Un bon bock,1892,0,0.0,4,9631,1890s,Un bon bock
Le clown et ses chiens,1892,0,0.0,2,9632,1890s,Le clown et ses chiens
Fencing,1892,0,0.0,241446,9951,1890s,Fencing
Le prince de Galles,1892,0,0.0,234520,9952,1890s,Le prince de Galles
Wrestling,1892,0,0.0,242148,9948,1890s,Wrestling
Boxing,1892,0,0.0,241266,9986,1890s,Boxing
Blacksmith Scene,1893,0,0.0,5,9583,1890s,Blacksmith Scene
Annabelle Butterfly Dance,1894,0,0.0,229217,9636,1890s,Annabelle Butterfly Dance
Edison Kinetoscope Records: Annie Oakley,1894,0,0.0,8419312,9642,1890s,Edison Kinetoscope Records: Annie Oakley
Autour d&#39;une cabine,1894,0,0.0,15,9646,1890s,Autour d&#39;une cabine
"Barbershop, The",1894,0,0.0,229235,9648,1890s,The Barbershop
Bucking Broncho,1894,0,0.0,309396,9649,1890s,Bucking Broncho
Buffalo Dance,1894,0,0.0,309402,9650,1890s,Buffalo Dance
Carmencita,1894,0,0.0,1,9651,1890s,Carmencita
Edison Kinetoscopic Record of a Sneeze,1894,0,0.0,8,9652,1890s,Edison Kinetoscopic Record of a Sneeze
Dickson Experimental Sound Film,1894,0,0.0,177707,9654,1890s,Dickson Experimental Sound Film
Chinese Opium Den,1894,0,0.0,6,9655,1890s,Chinese Opium Den
Corbett and Courtney Before the Kinetograph,1894,0,0.0,7,9656,1890s,Corbett and Courtney Before the Kinetograph
Falling Cat,1894,0,0.0,2049440,9662,1890s,Falling Cat
