N.º,Película,Recaudación mundial,Taquilla (EE. UU.),Taquilla (fuera de EE. UU.),Presupuesto,Distribuidora(s),Año de estreno,Director(es),Rating,test
47.0,Star Wars: Episodio I - La amenaza fantasma,1027082707,"474 544 677 (46,2 %)","552 538 030 (53,8 %)",115000000,20th Century Fox,1999,George Lucas,0.0,False
77.0,El Señor de los Anillos: la Comunidad del Anillo,883407846,"316 115 420 (35,2 %)","582 089 000 (64,8 %)",93000000,New Line Cinema,2001,Peter Jackson,0.0,False
50.0,Harry Potter y la piedra filosofal,1024274108,"318 886 962 (31,1 %)","704 955 975 (68,9 %)",125000000,Warner Bros. Pictures,2001,Chris Columbus,0.0,False
64.0,El Señor de los Anillos: las dos torres,948945489,"342 952 511 (36,2 %)","604 991 759 (63,8 %)",94000000,New Line Cinema,2002,Peter Jackson,0.0,False
70.0,Harry Potter y la cámara secreta,927068902,"262 641 637 (28,4 %)","663 026 742 (71,6 %)",100000000,Warner Bros.,2002,Chris Columbus,0.0,False
27.0,El Señor de los Anillos: el retorno del Rey,1156194180,"379 427 292 (33,1 %)","768 206 541 (66,9 %)",94000000,New Line Cinema,2003,Peter Jackson,0.0,False
83.0,Star Wars: Episodio lll - la venganza de los Sith,868390560,"380 270 577 (43,8 %)","488 119 983 (56,2 %)",113000000,20th Century Fox,2005,George Lucas,0.0,False
73.0,Harry Potter y el cáliz de fuego,897048706,"290 469 928 (32,4 %)","606 345 177 (67,6 %)",150000000,Warner Bros.,2005,Mike Newell,0.0,False
41.0,Pirates of the Caribbean: Dead Man's Chest,1066179747,"423 315 812 (39,7 %)","642 863 935 (60,3 %)",225000000,Walt Disney Studios Motion Pictures,2006,Gore Verbinski,0.0,False
67.0,Harry Potter y la Orden del Fénix,939288806,292 382 727 (31 %),649 895 317 (69 %),150000000,Warner Bros.,2007,David Yates,0.0,False
61.0,Piratas del Caribe: en el fin del mundo,961691209,"309 420 425 (32,2 %)","652 270 784 (67,8 %)",310000000,Walt Disney Studios Motion Pictures,2007,Gore Verbinski,0.0,False
52.0,The Dark Knight,1008486720,534 987 076 (52 %),473 449 861 (48 %),185000000,Warner Bros.,2008,Christopher Nolan,0.0,False
93.0,Transformers: la venganza de los caídos,836303693,"402 111 870 (48,2 %)","434 191 823 (51,7 %)",200000000,Paramount Pictures,2009,Michael Bay,0.0,False
68.0,Harry Potter y el misterio del príncipe,934770304,"302 334 374 (32,4 %)","632 185 012 (67,6 %)",250000000,Warner Bros.,2009,David Yates,0.0,False
55.0,Harry Potter y las reliquias de la Muerte: parte 1,972584232,"296 374 621 (30,3 %)","680 695 761 (69,7 %)",250000000,Warner Bros.,2010,David Yates,0.0,False
34.0,The Dark Knight Rises,1114085030,"448 149 584 (40,2 %)","665 935 446 (59,8 %)",230000000,Warner Bros.,2012,Christopher Nolan,0.0,False
