N.º,Película,Recaudación mundial,Taquilla (EE. UU.),Taquilla (fuera de EE. UU.),Presupuesto,Distribuidora(s),Año de estreno,Director(es),Rating
1.0,Avatar,2923706026,"785 221 649 (26,9 %)","2 138 484 377 (73,1 %)",237000000,20th Century Fox,2009,James Cameron,3.0
2.0,Avengers: Endgame,2799439100,"858 373 000 (30,7 %)","1 941 066 100 (69,3 %)",356000000,Walt Disney Studios Motion Pictures,2019,Anthony y Joe Russo,3.0
4.0,Titanic,2264743305,"674 292 608 (29,8 %)","1 590 450 697 (70,2 %)",200000000,20th Century Fox / Paramount Pictures,1997,James Cameron,3.0
6.0,Avengers: Infinity War,2052415039,"678 815 482 (33,1 %)","1 373 599 557 (66,9 %)",356000000,Walt Disney Studios Motion Pictures,2018,Anthony y Joe Russo,3.0
7.0,Spider-Man: No Way Home,1921847111,"814 115 070 (42,4 %)","1 107 732 041 (57,6 %)",200000000,Sony Pictures,2021,Jon Watts,3.0
8.0,Jurassic World,1671537444,"653 406 625 (39,1 %)","1 018 130 819 (60,9 %)",150000000,Universal Pictures,2015,Colin Trevorrow,3.0
11.0,Furious 7,1515341399,"353 007 020 (23,3 %)","1 162 334 379 (76,7 %)",190000000,Universal Pictures,2015,James Wan,3.0
12.0,Top Gun: Maverick,1495696292,"718 732 821 (48,1 %)","774 759 037 (51,9 %)",170000000,Paramount Pictures,2022,Joseph Kosinski,3.0
15.0,Avengers: Age of Ultron,1405018048,"459 005 868 (32,7 %)","946 012 180 (67,3 %)",250000000,Walt Disney Studios Motion Pictures,2015,Joss Whedon,3.0
16.0,Frozen,1397042530,"400 953 009 (31,2 %)","883 587 509 (68,8 %)",150000000,Walt Disney Studios Motion Pictures,2013,"Chris Buck, Jennifer Lee",3.0
19.0,Black Panther,1349926083,"700 426 566 (51,9 %)","649 499 517 (48,1 %)",200000000,Walt Disney Studios Motion Pictures,2018,Ryan Coogler,3.0
25.0,Iron Man 3,1215577205,"409 013 994 (33,6 %)","806 563 211 (66,4 %)",200000000,Walt Disney Studios Motion Pictures,2013,Shane Black,3.0
26.0,Minions,1159444662,336 045 770 (29 %),823 398 892 (71 %),74000000,Universal Pictures,2015,Pierre Coffin,3.0
29.0,Aquaman,1152028393,"335 104 314 (29,2 %)","813 424 079 (70,8 %)",160000000,Warner Bros.,2018,James Wan,3.0
30.0,Skyfall,1142471295,"304 360 277 (26,6 %)","838 111 018 (73,4 %)",200000000,Sony Pictures Releasing,2012,Sam Mendes,3.0
35.0,Jurassic Park,1113138548,"407 185 075 (36,6 %)","705 953 473 (63,4 %)",63000000,Universal Pictures,1993,Steven Spielberg,3.0
38.0,Joker,1074458282,"335 477 657 (31,2 %)","738 980 625 (68,8 %)",55000000,Warner Bros.,2019,Todd Phillips,3.0
39.0,Toy Story 4,1073841394,"434 038 008 (40,4 %)","639 803 386 (59,6 %)",200000000,Walt Disney Studios Motion Pictures,2019,Josh Cooley,3.0
40.0,Toy Story 3,1067316101,"415 004 880 (38,9 %)","652 311 221 (61,1 %)",200000000,Walt Disney Studios Motion Pictures,2010,Lee Unkrich,3.0
44.0,Pirates of the Caribbean: On Stranger Tides,1046721266,241 071 802 (23 %),805 649 464 (77 %),250000000,Walt Disney Studios Motion Pictures,2011,Rob Marshall,1.0
45.0,Despicable Me 3,1034800131,"264 624 300 (25,6 %)",770 175 831 (744 %),80000000,Universal Pictures,2017,"Pierre Coffin, Kyle Balda, Eric Guillon",3.0
48.0,Zootopia,1025521689,"341 268 248 (33,3 %)","684 253 441 (66,7 %)",150000000,Walt Disney Studios Motion Pictures,2016,"Byron Howard, Rich Moore",3.0
54.0,Jumanji: Welcome to the Jungle,995339117,"404 540 171 (40,6 %)","590 798 946 (59,4 %)",90000000,Sony Pictures,2017,Jake Kasdan,3.0
57.0,Despicable Me 2,970766005,"368 065 385 (37,9 %)","602 700 620 (62,1 %)",76000000,Universal Pictures,2013,Pierre Coffin,3.0
69.0,Shrek 2,930793672,"443 256 807 (47,6 %)","487 534 523 (52,4 %)",150000000,DreamWorks,2004,Andrew Adamson/,3.0
71.0,Bohemian Rhapsody,910809311,"216 668 042 (23,8 %)","694 141 269 (76,2 %)",52000000,20th Century Fox,2018,Bryan Singer/,2.0
74.0,Spider-Man 3,894983373,"336 530 303 (37,6 %)","558 453 070 (62,4 %)",258000000350000000,Sony Pictures,2007,Sam Raimi,2.0
76.0,Ice Age: Dawn of the Dinosaurs,886686817,"196 573 705 (22,2 %)","690 113 112 (77,8 %)",90000000,20th Century Fox,2009,Carlos Saldhana/,1.0
78.0,Spectre,880705312,"200 074 609 (22,7 %)","680 630 703 (77,3 %)",245000000,Sony Pictures,2015,Sam Mendes,1.0
79.0,Spider-Man: Homecoming,880166924,334 201 140 (38 %),545 965 784 (62 %),175000000,Sony Pictures,2017,Jon Watts,3.0
80.0,Ice Age: Continental Drift,877244782,"161 321 843 (18,4 %)","715 922 939 (81,6 %)",95000000,20th Century Fox,2012,Steve Martino/,2.0
81.0,Batman v Superman: Dawn of Justice,874362803,"330 360 194 (37,8 %)","543 277 334 (62,2 %)",250000000,Warner Bros.,2016,Zack Snyder,2.0
82.0,Wolf Warrior 2,870325439,"2 721 100 (0,3 %)","867 604 339 (99,7 %)",30100000,The H Collective,2017,Wu Jing,1.0
86.0,Black Panther: Wakanda Forever,859208836,"453 829 060 (52,8 %)","405 379 776 (47,2 %)",250000000,Walt Disney Studios Motion Pictures,2022,Ryan Coogler,3.0
87.0,Inside Out,858848019,"356 921 711 (41,6 %)","501 926 308 (58,4 %)",175000000,Walt Disney Studios Motion Pictures,2015,Pete Docter/,3.0
88.0,Venom,856085151,"213 515 506 (24,9 %)","642 569 645 (75,1 %)",100000000,Sony Pictures,2018,Ruben Fleischer,1.0
89.0,Thor: Ragnarok,855301806,"315 058 289 (36,8 %)","540 243 517 (63,2 %)",180000000,Walt Disney Studios Motion Pictures,2017,Taika Waititi,1.0
92.0,Inception,839030630,292 587 330 (33.6 %),544 260 772 (66.4 %),160000000,Warner Bros.,2010,Christopher Nolan,3.0
94.0,Spider-Man,825025036,"407 022 860 (49,3 %)","418 002 176 (50,7 %)",140000000,Sony Pictures,2002,Sam Raimi,1.0
95.0,Wonder Woman,823970682,"412 845 172 (50,2 %)","410 009 114 (49,8 %)",149000000,Warner Bros.,2017,Patty Jenkins,3.0
97.0,Independence Day,817400891,"306 169 268 (37,5 %)","511 231 623 (62,5 %)",75000000,20th Century Fox,1996,Roland Emmerich,3.0
99.0,Coco,814337054,"210 460 015 (25,8 %)","603 877 039 (74,2 %)",175000000,Walt Disney Studios Motion Pictures,2017,Lee Unkrich /,3.0
