Título,¿Aprueba?,Año,Dirección,Guionista(s)
Fantasía,No,1940,Director,Hombre
Pinocho,No,1940,Director,Hombre
Dumbo,No,1941,Director,Hombre
El dragón chiflado,Sí,1941,Director,Hombre
Bambi,No,1942,Director,Hombre
Saludos amigos,No,1942,Director,Hombre
Los tres caballeros,No,1944,Director,Hombre
Canción del Sur,No,1946,Director,Hombre
"Música, maestro",No,1946,Director,Mixto
La Cenicienta,Sí,1950,Director,Hombre
Alicia en el país de las maravillas,Sí,1951,Director,Hombre
La dama y el vagabundo,No,1955,Director,Hombre
La bella durmiente,Sí,1959,Director,Hombre
Merlín el encantador,No,1963,Director,Hombre
El libro de la selva,No,1967,Director,Hombre
Los aristogatos,Sí,1970,Director,Hombre
La bruja novata,Sí,1971,Director,Hombre
Robin Hood,Sí,1973,Director,Hombre
Los rescatadores,Sí,1977,Director,Hombre
El señor de los anillos,No,1978,Director,Hombre
Tod y Toby,No,1981,Director,Hombre
Nausicaä del Valle del Viento,Sí,1984,Director,Hombre
Los osos amorosos,Sí,1985,Directora,Hombre
Starchaser: la leyenda de Orin,No,1985,Director,Hombre
Tarón y el caldero mágico,Sí,1985,Director,Hombre
"Basil, el ratón superdetective",No,1986,Director,Mixto
Transformers: La película,No,1986,Director,Hombre
La vuelta al mundo de Alvin y las ardillas,Sí,1987,Directora,Mixto
¿Quién engañó a Roger Rabbit?,No,1988,Director,Hombre
Akira,No,1988,Director,Hombre
En busca del valle encantado,Sí,1988,Director,Hombre
Mi vecino Totoro,Sí,1988,Director,Hombre
Oliver y su pandilla,No,1988,Director,Hombre
Babar en la selva,Sí,1989,Director,Hombre
La sirenita,Sí,1989,Director,Hombre
Todos los perros van al cielo,Sí,1989,Director,Hombre
Los Rescatadores en Cangurolandia,No,1990,Director,Mixto
101 dálmatas,Sí,1991,Director,Hombre
Fievel va al Oeste,Sí,1991,Director,Hombre
La bella y la bestia,Sí,1991,Director,Mujer
La princesa y los duendes,Sí,1991,Director,Hombre
Aladdin,No,1992,Director,Hombre
"FernGully, las aventuras de Zak y Crysta",Sí,1992,Director,Hombre
Freddie Agente O.7. (Freddie la rana),No,1992,Director,Hombre
Tom y Jerry: La película,Sí,1992,Director,Hombre
Batman: La máscara del fantasma,No,1993,Director,Hombre
Pesadilla antes de Navidad,No,1993,Director,Mixto
El guardián de las palabras,No,1994,Director,Hombre
El retorno de Jafar,No,1994,Director,Hombre
El Rey León (1994),No,1994,Director,Mixto
La princesa cisne,No,1994,Director,Hombre
Balto,No,1995,Director,Mixto
Ghost in the Shell,No,1995,Director,Hombre
Goofy e hijo,No,1995,Director,Hombre
Pocahontas,Sí,1995,Director,Mujer
Toy Story,No,1995,Director,Hombre
Beavis y Butt-Head recorren América,No,1996,Director,Hombre
El jorobado de Notre Dame,No,1996,Director,Mixto
James y el melocotón gigante,Sí,1996,Director,Mixto
Space Jam,No,1996,Director,Hombre
Anastasia,Sí,1997,Director,Mixto
Hércules,Sí,1997,Director,Mixto
La princesa Mononoke,Sí,1997,Director,Hombre
Antz (Hormigaz),Sí,1998,Director,Hombre
"Bichos, una aventura en miniatura",Sí,1998,Director,Hombre
El príncipe de Egipto,Sí,1998,Mixto,Hombre
La espada mágica: En busca de Camelot,Sí,1998,Director,Mixto
Pokémon: La película,Sí,1998,Director,Hombre
Rugrats. La película,Sí,1998,Director,Hombre
El gigante de hierro,No,1999,Director,Hombre
Fantasía 2000,No,1999,Director,Mixto
Pokémon 2000: El poder de uno,Sí,1999,Director,Hombre
Tarzán,No,1999,Director,Hombre
Toy Story 2,No,1999,Director,Mixto
Chicken Run: Evasión en la granja,Sí,2000,Director,Hombre
Dinosaurio,Sí,2000,Director,Hombre
